replica,network,population,sigma,true_model,net_size,colab_cond,RR,TAT
1,Lattice,All,0.2,13,413,COLAB,0.48402948402948404,0.8343736010863197
2,Lattice,All,0.2,13,413,COLAB,0.5338427947598253,0.8087453689222751
3,Lattice,All,0.2,13,413,COLAB,0.5201421800947867,0.823795950914595
4,Lattice,All,0.2,13,413,COLAB,0.5246189917936694,0.818822003198825
5,Lattice,All,0.2,13,413,COLAB,0.5156774916013438,0.8030901637379234
6,Lattice,All,0.2,13,413,COLAB,0.4983476536682089,0.8538448793561008
7,Lattice,All,0.2,13,413,COLAB,0.5129906025428413,0.8139814016218606
8,Lattice,All,0.2,13,413,COLAB,0.5436554132712457,0.815868914867865
9,Lattice,All,0.2,13,413,COLAB,0.5169022741241549,0.8258380081658314
10,Lattice,All,0.2,13,413,COLAB,0.5230677052127022,0.8394004155887211
11,Lattice,All,0.2,13,413,COLAB,0.5601659751037344,0.8453915556009666
12,Lattice,All,0.2,13,413,COLAB,0.5798065296251511,0.8276149262445692
13,Lattice,All,0.2,13,413,COLAB,0.5274463007159904,0.8244534095889525
14,Lattice,All,0.2,13,413,COLAB,0.5368239355581128,0.7979158553852269
15,Lattice,All,0.2,13,413,COLAB,0.5279394644935972,0.815957431384205
16,Lattice,All,0.2,13,413,COLAB,0.5149425287356322,0.8330102753164538
17,Lattice,All,0.2,13,413,COLAB,0.4811083123425693,0.8487036621122293
18,Lattice,All,0.2,13,413,COLAB,0.49259497746297487,0.8489553431017698
19,Lattice,All,0.2,13,413,COLAB,0.5318237454100367,0.8234233747685956
20,Lattice,All,0.2,13,413,COLAB,0.5069490403706155,0.8327613073168886
21,Lattice,All,0.2,13,413,COLAB,0.5784061696658098,0.8322838689847898
22,Lattice,All,0.2,13,413,COLAB,0.5744807121661721,0.8307954792065733
23,Lattice,All,0.2,13,413,COLAB,0.5049875311720698,0.8363467453911104
24,Lattice,All,0.2,13,413,COLAB,0.5316804407713499,0.8178551703052032
25,Lattice,All,0.2,13,413,COLAB,0.5216197666437886,0.8575729578182745
26,Lattice,All,0.2,13,413,COLAB,0.5074123989218329,0.8360928740150488
27,Lattice,All,0.2,13,413,COLAB,0.5260148656375071,0.846324769888375
28,Lattice,All,0.2,13,413,COLAB,0.484149855907781,0.8266147753400281
29,Lattice,All,0.2,13,413,COLAB,0.5559481743227326,0.8223124327213305
30,Lattice,All,0.2,13,413,COLAB,0.5212957408518296,0.8292957319456821
31,Lattice,All,0.2,13,413,COLAB,0.5214881334188582,0.8254561400163962
32,Lattice,All,0.2,13,413,COLAB,0.5397902529302899,0.8372636839656962
33,Lattice,All,0.2,13,413,COLAB,0.49182242990654207,0.8319181604048881
34,Lattice,All,0.2,13,413,COLAB,0.5436554132712457,0.815868914867865
35,Lattice,All,0.2,13,413,COLAB,0.5529411764705883,0.8137400261542076
36,Lattice,All,0.2,13,413,COLAB,0.5303210463733651,0.8314182110262619
37,Lattice,All,0.2,13,413,COLAB,0.5558282208588957,0.820206696982224
38,Lattice,All,0.2,13,413,COLAB,0.5359955005624297,0.799385144264482
39,Lattice,All,0.2,13,413,COLAB,0.5417737789203085,0.8449427169154202
40,Lattice,All,0.2,13,413,COLAB,0.5268557634278818,0.831398967742704
41,Lattice,All,0.2,13,413,COLAB,0.5204017576898933,0.841993646146937
42,Lattice,All,0.2,13,413,COLAB,0.5242925787506674,0.7977460598402437
43,Lattice,All,0.2,13,413,COLAB,0.4921363040629096,0.8431614977987325
44,Lattice,All,0.2,13,413,COLAB,0.5691519635742743,0.7915665957592808
45,Lattice,All,0.2,13,413,COLAB,0.530044275774826,0.8382703840306324
46,Lattice,All,0.2,13,413,COLAB,0.5427553444180523,0.8068793726045139
47,Lattice,All,0.2,13,413,COLAB,0.5207736389684814,0.8624455264566476
48,Lattice,All,0.2,13,413,COLAB,0.5226744186046511,0.8311822351181662
49,Lattice,All,0.2,13,413,COLAB,0.5318374772589448,0.8279431941371294
50,Lattice,All,0.2,13,413,COLAB,0.5383655645664379,0.8361143146975177
1,Lattice,All,0.2,13,413,NOLAB,0.518783542039356,0.8265319906598602
2,Lattice,All,0.2,13,413,NOLAB,0.473950233281493,0.8434743158761048
3,Lattice,All,0.2,13,413,NOLAB,0.4915315315315315,0.8256571073918184
4,Lattice,All,0.2,13,413,NOLAB,0.49945945945945946,0.8347327712485737
5,Lattice,All,0.2,13,413,NOLAB,0.49078171091445427,0.830529918722922
6,Lattice,All,0.2,13,413,NOLAB,0.4836697247706422,0.8309888271054137
7,Lattice,All,0.2,13,413,NOLAB,0.509549795361528,0.8303180214234273
8,Lattice,All,0.2,13,413,NOLAB,0.4959938954597482,0.8492636843567658
9,Lattice,All,0.2,13,413,NOLAB,0.5047723935389133,0.8315933045976255
10,Lattice,All,0.2,13,413,NOLAB,0.5219081272084806,0.8406237171833257
11,Lattice,All,0.2,13,413,NOLAB,0.477171301064195,0.8424604197546777
12,Lattice,All,0.2,13,413,NOLAB,0.489741641337386,0.8468340421228856
13,Lattice,All,0.2,13,413,NOLAB,0.48043875685557585,0.8376257428152633
14,Lattice,All,0.2,13,413,NOLAB,0.4723618090452261,0.8454767975330216
15,Lattice,All,0.2,13,413,NOLAB,0.5085237577076532,0.823992207916921
16,Lattice,All,0.2,13,413,NOLAB,0.528152260111023,0.855432103586833
17,Lattice,All,0.2,13,413,NOLAB,0.49405833633417356,0.8364384008744032
18,Lattice,All,0.2,13,413,NOLAB,0.5384333821376281,0.8107453072643872
19,Lattice,All,0.2,13,413,NOLAB,0.5286827195467422,0.8221565653842878
20,Lattice,All,0.2,13,413,NOLAB,0.505,0.8345322063976659
21,Lattice,All,0.2,13,413,NOLAB,0.5169082125603864,0.8349275740160217
22,Lattice,All,0.2,13,413,NOLAB,0.48038490007401924,0.8278398797965545
23,Lattice,All,0.2,13,413,NOLAB,0.49333813467770976,0.8367305244118104
24,Lattice,All,0.2,13,413,NOLAB,0.48955661414437524,0.8554021233004284
25,Lattice,All,0.2,13,413,NOLAB,0.49140401146131807,0.8500172950536147
26,Lattice,All,0.2,13,413,NOLAB,0.5100387460373371,0.8117984770146629
27,Lattice,All,0.2,13,413,NOLAB,0.501788268955651,0.8470930724037364
28,Lattice,All,0.2,13,413,NOLAB,0.5172943889315911,0.845800747159076
29,Lattice,All,0.2,13,413,NOLAB,0.4863723608445297,0.8426328541022837
30,Lattice,All,0.2,13,413,NOLAB,0.4831043445971036,0.8380207554494336
31,Lattice,All,0.2,13,413,NOLAB,0.5292096219931272,0.836450025062134
32,Lattice,All,0.2,13,413,NOLAB,0.503993914035755,0.8442632108982083
33,Lattice,All,0.2,13,413,NOLAB,0.5035581158929177,0.8235491581371784
34,Lattice,All,0.2,13,413,NOLAB,0.4959938954597482,0.8492636843567658
35,Lattice,All,0.2,13,413,NOLAB,0.5,0.8482604115852643
36,Lattice,All,0.2,13,413,NOLAB,0.4914688427299703,0.8444120360111517
37,Lattice,All,0.2,13,413,NOLAB,0.5173168064163325,0.8430794909462356
38,Lattice,All,0.2,13,413,NOLAB,0.5143261407852847,0.8291439851415346
39,Lattice,All,0.2,13,413,NOLAB,0.4940828402366864,0.8395717173512229
40,Lattice,All,0.2,13,413,NOLAB,0.4940021810250818,0.83895915636549
