population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,99.04777777777778,12,25,421.7037493546273
Bo,461.211123723042,50,416,1115.6927743513252
Mave,43.91444444444444,17,28,130.14135556151416
Rey,965.713004484305,424,1151.75,1352.5549944233544
Tess,1048.3548387096773,246.5,1253.5,1748.7618670710706
