population,TAT_median,TAT_mean,TAT_IQR,TAT_SD
All,0.2589,0.3087651111111111,0.40577500000000005,0.2315457524262045
Bo,0.0029,0.005480111111111111,0.006125,0.006941637680818288
Mave,0.3947,0.45749422222222225,0.66785,0.3233447512384487
Rey,0.20595,0.27549111111111113,0.355525,0.2593549851227011
Tess,0.2682,0.3316487777777778,0.5835250000000001,0.315286478464265
