replica,network,population,sigma,true_model,modelcompare,base_SS,RR
3,None,All,0.2,7,AIC,100,0.9348534201954397
4,None,All,0.2,7,AIC,100,0.8771610555050046
5,None,All,0.2,7,AIC,100,0.9301675977653632
6,None,All,0.2,7,AIC,100,0.9372759856630825
7,None,All,0.2,7,AIC,100,0.9323401613904407
8,None,All,0.2,7,AIC,100,0.9331727874774233
9,None,All,0.2,7,AIC,100,0.9295023696682464
10,None,All,0.2,7,AIC,100,0.941946499715424
11,None,All,0.2,7,AIC,100,0.9460556844547564
12,None,All,0.2,7,AIC,100,0.945054945054945
13,None,All,0.2,7,AIC,100,0.9315223542727787
14,None,All,0.2,7,AIC,100,0.9273224043715848
15,None,All,0.2,7,AIC,100,0.9338592233009708
16,None,All,0.2,7,AIC,100,0.9404832056570418
17,None,All,0.2,7,AIC,100,0.9281006590772918
18,None,All,0.2,7,AIC,100,0.940754039497307
19,None,All,0.2,7,AIC,100,0.9314516129032258
20,None,All,0.2,7,AIC,100,0.9379432624113475
21,None,All,0.2,7,AIC,100,0.9378268448576409
22,None,All,0.2,7,AIC,100,0.9329863370201692
23,None,All,0.2,7,AIC,100,0.9325153374233128
24,None,All,0.2,7,AIC,100,0.9266625233064015
25,None,All,0.2,7,AIC,100,0.9353348729792148
26,None,All,0.2,7,AIC,100,0.9414634146341463
27,None,All,0.2,7,AIC,100,0.9406731317741015
28,None,All,0.2,7,AIC,100,0.9472807991120976
29,None,All,0.2,7,AIC,100,0.9368241320432555
30,None,All,0.2,7,AIC,100,0.9367469879518072
31,None,All,0.2,7,AIC,100,0.9279279279279279
32,None,All,0.2,7,AIC,100,0.9344547563805105
33,None,All,0.2,7,AIC,100,0.9380896226415094
34,None,All,0.2,7,AIC,100,0.9331727874774233
35,None,All,0.2,7,AIC,100,0.9421348314606741
36,None,All,0.2,7,AIC,100,0.7766295707472178
37,None,All,0.2,7,AIC,100,0.9366724237190558
38,None,All,0.2,7,AIC,100,0.9282296650717703
39,None,All,0.2,7,AIC,100,0.9419924337957125
40,None,All,0.2,7,AIC,100,0.9340452261306532
41,None,All,0.2,7,AIC,100,0.9280089988751407
42,None,All,0.2,7,AIC,100,0.9293544457978076
43,None,All,0.2,7,AIC,100,0.9528767123287671
44,None,All,0.2,7,AIC,100,0.9327303561334087
45,None,All,0.2,7,AIC,100,0.9454136184580754
46,None,All,0.2,7,AIC,100,0.929903900508762
47,None,All,0.2,7,AIC,100,0.9374233128834356
48,None,All,0.2,7,AIC,100,0.9424850786760717
49,None,All,0.2,7,AIC,100,0.9402568397543272
50,None,All,0.2,7,AIC,100,0.6776729559748428
1,None,All,0.2,13,AIC,20,0.9653979238754326
2,None,All,0.2,13,AIC,20,0.8898104265402843
3,None,All,0.2,13,AIC,20,0.9514010507880911
4,None,All,0.2,13,AIC,20,0.94375
5,None,All,0.2,13,AIC,20,0.9301020408163265
6,None,All,0.2,13,AIC,20,0.9569190600522193
7,None,All,0.2,13,AIC,20,0.9491220171094101
8,None,All,0.2,13,AIC,20,0.900984682713348
9,None,All,0.2,13,AIC,20,0.9555843035791289
10,None,All,0.2,13,AIC,20,0.8484251968503937
11,None,All,0.2,13,AIC,20,0.8459900638750887
12,None,All,0.2,13,AIC,20,0.7810150375939849
13,None,All,0.2,13,AIC,20,0.9370877727042111
14,None,All,0.2,13,AIC,20,0.9453262786596119
15,None,All,0.2,13,AIC,20,0.9632706602536073
16,None,All,0.2,13,AIC,20,0.9477678571428572
17,None,All,0.2,13,AIC,20,0.9023836549375709
18,None,All,0.2,13,AIC,20,0.867214236824093
19,None,All,0.2,13,AIC,20,0.9554195804195804
20,None,All,0.2,13,AIC,20,0.9538393253439857
21,None,All,0.2,13,AIC,20,0.943831012962074
22,None,All,0.2,13,AIC,20,0.9082969432314411
23,None,All,0.2,13,AIC,20,0.9594535037461437
24,None,All,0.2,13,AIC,20,0.9567286888792731
25,None,All,0.2,13,AIC,20,0.8822452715070165
26,None,All,0.2,13,AIC,20,0.9614551754006063
27,None,All,0.2,13,AIC,20,0.956078083407276
28,None,All,0.2,13,AIC,20,0.9446209714026328
29,None,All,0.2,13,AIC,20,0.9548810500410172
30,None,All,0.2,13,AIC,20,0.9567157518964748
31,None,All,0.2,13,AIC,20,0.956540825285338
32,None,All,0.2,13,AIC,20,0.94062205466541
33,None,All,0.2,13,AIC,20,0.9524241051200725
34,None,All,0.2,13,AIC,20,0.900984682713348
35,None,All,0.2,13,AIC,20,0.8911174785100286
36,None,All,0.2,13,AIC,20,0.9560487380330722
37,None,All,0.2,13,AIC,20,0.8428981348637016
38,None,All,0.2,13,AIC,20,0.9612601106853981
39,None,All,0.2,13,AIC,20,0.8118279569892473
40,None,All,0.2,13,AIC,20,0.9511854951185496
41,None,All,0.2,13,AIC,20,0.9597774925117672
42,None,All,0.2,13,AIC,20,0.9153587443946188
43,None,All,0.2,13,AIC,20,0.959349593495935
44,None,All,0.2,13,AIC,20,0.9555942533739661
45,None,All,0.2,13,AIC,20,0.954565901934323
46,None,All,0.2,13,AIC,20,0.95018281535649
47,None,All,0.2,13,AIC,20,0.9270428015564203
48,None,All,0.2,13,AIC,20,0.9517426273458445
49,None,All,0.2,13,AIC,20,0.9558823529411765
50,None,All,0.2,13,AIC,20,0.9534580252283602
1,None,All,0.2,2,AIC,20,0.8412162162162162
2,None,All,0.2,2,AIC,20,0.8323432343234324
3,None,All,0.2,2,AIC,20,0.8192520775623269
