replica,network,population,sigma,true_model,modelcompare,base_SS,TAT,RR
1,None,All,0.2,13,AIC,100,0.9357,0.9710085749285423
10,None,All,0.2,13,AIC,100,0.9378,0.9612034837688044
11,None,All,0.2,13,AIC,100,0.9318,0.9618380062305296
12,None,All,0.2,13,AIC,100,0.9499,0.9650655021834061
13,None,All,0.2,13,AIC,100,0.929,0.9613034623217923
14,None,All,0.2,13,AIC,100,0.8384,0.9487283003633428
15,None,All,0.2,13,AIC,100,0.9341,0.9638989169675091
16,None,All,0.2,13,AIC,100,0.9232,0.9580530273051049
17,None,All,0.2,13,AIC,100,0.9358,0.9652615144418423
18,None,All,0.2,13,AIC,100,0.9317,0.9650432050274941
19,None,All,0.2,13,AIC,100,0.9227,0.9654213036565977
2,None,All,0.2,13,AIC,100,0.9196,0.9678992279561154
20,None,All,0.2,13,AIC,100,0.948,0.9661855670103093
21,None,All,0.2,13,AIC,100,0.9414,0.9631728045325779
22,None,All,0.2,13,AIC,100,0.938,0.9627201966407211
23,None,All,0.2,13,AIC,100,0.9369,0.9611807521229276
24,None,All,0.2,13,AIC,100,0.9389,0.9667721518987342
25,None,All,0.2,13,AIC,100,0.9448,0.9654213036565977
26,None,All,0.2,13,AIC,100,0.9396,0.9625689519306541
27,None,All,0.2,13,AIC,100,0.9398,0.9649542015133413
28,None,All,0.2,13,AIC,100,0.9421,0.9639215686274509
29,None,All,0.2,13,AIC,100,0.9402,0.9650180940892642
3,None,All,0.2,13,AIC,100,0.9413,0.9577804583835947
30,None,All,0.2,13,AIC,100,0.9411,0.96359918200409
31,None,All,0.2,13,AIC,100,0.9422,0.9730586370839936
32,None,All,0.2,13,AIC,100,0.9334,0.9664375252729478
33,None,All,0.2,13,AIC,100,0.9349,0.9602831301612269
34,None,All,0.2,13,AIC,100,0.9437,0.968895800933126
35,None,All,0.2,13,AIC,100,0.9175,0.9565909996017523
36,None,All,0.2,13,AIC,100,0.9313,0.963291649858814
37,None,All,0.2,13,AIC,100,0.9375,0.960595094491355
38,None,All,0.2,13,AIC,100,0.9422,0.9642857142857143
39,None,All,0.2,13,AIC,100,0.9255,0.9575396825396826
