replica,network,population,sigma,true_model,modelcompare,base_SS,RR
4,None,All,0.2,7,AIC,100,0.8352272727272727
5,None,All,0.2,7,AIC,100,0.8942891859052248
6,None,All,0.2,7,AIC,100,0.9106788408098452
7,None,All,0.2,7,AIC,100,0.9014028056112224
8,None,All,0.2,7,AIC,100,0.8992609879424348
9,None,All,0.2,7,AIC,100,0.9006648416112631
10,None,All,0.2,7,AIC,100,0.9066193853427896
11,None,All,0.2,7,AIC,100,0.9225077881619937
12,None,All,0.2,7,AIC,100,0.9004451639012545
13,None,All,0.2,7,AIC,100,0.9057425742574258
14,None,All,0.2,7,AIC,100,0.8928982725527831
15,None,All,0.2,7,AIC,100,0.8952648475120385
16,None,All,0.2,7,AIC,100,0.9134615384615384
17,None,All,0.2,7,AIC,100,0.9020783373301359
18,None,All,0.2,7,AIC,100,0.9039479039479039
19,None,All,0.2,7,AIC,100,0.9039615846338536
20,None,All,0.2,7,AIC,100,0.911741835147745
21,None,All,0.2,7,AIC,100,0.9037007560684441
22,None,All,0.2,7,AIC,100,0.9055374592833876
23,None,All,0.2,7,AIC,100,0.9039014373716633
24,None,All,0.2,7,AIC,100,0.892094861660079
25,None,All,0.2,7,AIC,100,0.9032889584964762
26,None,All,0.2,7,AIC,100,0.9038234134804888
27,None,All,0.2,7,AIC,100,0.9057570977917981
28,None,All,0.2,7,AIC,100,0.9161628375654978
29,None,All,0.2,7,AIC,100,0.8948995363214838
30,None,All,0.2,7,AIC,100,0.9058919803600655
31,None,All,0.2,7,AIC,100,0.8975069252077562
32,None,All,0.2,7,AIC,100,0.9018729641693811
33,None,All,0.2,7,AIC,100,0.9063729346970889
34,None,All,0.2,7,AIC,100,0.8992609879424348
35,None,All,0.2,7,AIC,100,0.9014084507042254
36,None,All,0.2,7,AIC,100,0.8324813212740857
37,None,All,0.2,7,AIC,100,0.8966210780370072
38,None,All,0.2,7,AIC,100,0.9131297104323681
39,None,All,0.2,7,AIC,100,0.9079365079365079
40,None,All,0.2,7,AIC,100,0.9007413509060955
41,None,All,0.2,7,AIC,100,0.9013916500994036
42,None,All,0.2,7,AIC,100,0.8864255153636718
43,None,All,0.2,7,AIC,100,0.9048374306106265
44,None,All,0.2,7,AIC,100,0.9
45,None,All,0.2,7,AIC,100,0.9006835544833133
46,None,All,0.2,7,AIC,100,0.8967844382691544
47,None,All,0.2,7,AIC,100,0.9023904382470119
48,None,All,0.2,7,AIC,100,0.9046502540054708
49,None,All,0.2,7,AIC,100,0.9138621794871795
50,None,All,0.2,7,AIC,100,0.8259141494435612
1,None,All,0.2,13,AIC,20,0.9518956379942927
2,None,All,0.2,13,AIC,20,0.8894348894348895
3,None,All,0.2,13,AIC,20,0.948051948051948
4,None,All,0.2,13,AIC,20,0.9288906948394962
5,None,All,0.2,13,AIC,20,0.9131493506493507
6,None,All,0.2,13,AIC,20,0.9362123613312203
7,None,All,0.2,13,AIC,20,0.9337038507344184
8,None,All,0.2,13,AIC,20,0.8997214484679665
9,None,All,0.2,13,AIC,20,0.9343474779823859
10,None,All,0.2,13,AIC,20,0.8940316686967114
11,None,All,0.2,13,AIC,20,0.8936084142394822
12,None,All,0.2,13,AIC,20,0.8818034118602762
13,None,All,0.2,13,AIC,20,0.9064976228209192
14,None,All,0.2,13,AIC,20,0.9290608625554212
15,None,All,0.2,13,AIC,20,0.9496981891348089
16,None,All,0.2,13,AIC,20,0.9345644319550381
17,None,All,0.2,13,AIC,20,0.8946078431372549
18,None,All,0.2,13,AIC,20,0.905224787363305
19,None,All,0.2,13,AIC,20,0.9380706629614927
20,None,All,0.2,13,AIC,20,0.9402800658978583
21,None,All,0.2,13,AIC,20,0.9247699079631853
22,None,All,0.2,13,AIC,20,0.900164338537387
23,None,All,0.2,13,AIC,20,0.9376793767937679
24,None,All,0.2,13,AIC,20,0.9399209486166008
25,None,All,0.2,13,AIC,20,0.8972738048202291
26,None,All,0.2,13,AIC,20,0.9442424242424242
27,None,All,0.2,13,AIC,20,0.9355102040816327
28,None,All,0.2,13,AIC,20,0.9269369731031715
29,None,All,0.2,13,AIC,20,0.9428791972211501
30,None,All,0.2,13,AIC,20,0.9447878038730944
31,None,All,0.2,13,AIC,20,0.9419642857142857
32,None,All,0.2,13,AIC,20,0.9209453952730237
33,None,All,0.2,13,AIC,20,0.9326612903225806
34,None,All,0.2,13,AIC,20,0.8997214484679665
35,None,All,0.2,13,AIC,20,0.8995580554439534
36,None,All,0.2,13,AIC,20,0.9441478439425052
37,None,All,0.2,13,AIC,20,0.912754303599374
38,None,All,0.2,13,AIC,20,0.9476813317479191
39,None,All,0.2,13,AIC,20,0.906437425029988
40,None,All,0.2,13,AIC,20,0.930709307093071
41,None,All,0.2,13,AIC,20,0.9425149700598803
42,None,All,0.2,13,AIC,20,0.9081844619858745
43,None,All,0.2,13,AIC,20,0.9413396749900912
44,None,All,0.2,13,AIC,20,0.940112540192926
45,None,All,0.2,13,AIC,20,0.9361189232623544
46,None,All,0.2,13,AIC,20,0.9376290788930194
47,None,All,0.2,13,AIC,20,0.9157641395908543
48,None,All,0.2,13,AIC,20,0.9340040241448692
49,None,All,0.2,13,AIC,20,0.9400317712470214
50,None,All,0.2,13,AIC,20,0.937046004842615
1,None,All,0.2,2,AIC,20,0.7393891312971044
2,None,All,0.2,2,AIC,20,0.7379505872823006
3,None,All,0.2,2,AIC,20,0.7287660256410257
4,None,All,0.2,2,AIC,20,0.7301331181928197
5,None,All,0.2,2,AIC,20,0.7431781701444623
6,None,All,0.2,2,AIC,20,0.7329756500206356
7,None,All,0.2,2,AIC,20,0.7330946698488464
8,None,All,0.2,2,AIC,20,0.714519427402863
9,None,All,0.2,2,AIC,20,0.7257594673325011
10,None,All,0.2,2,AIC,20,0.7334685598377282
11,None,All,0.2,2,AIC,20,0.7472848788638262
12,None,All,0.2,2,AIC,20,0.7377830750893921
13,None,All,0.2,2,AIC,20,0.7322645290581162
14,None,All,0.2,2,AIC,20,0.7253634894991923
15,None,All,0.2,2,AIC,20,0.7317854283426741
16,None,All,0.2,2,AIC,20,0.7352824970367444
17,None,All,0.2,2,AIC,20,0.7273469387755102
18,None,All,0.2,2,AIC,20,0.7299595141700405
19,None,All,0.2,2,AIC,20,0.7257806244995997
20,None,All,0.2,2,AIC,20,0.7172306495527032
21,None,All,0.2,2,AIC,20,0.7207532051282052
22,None,All,0.2,2,AIC,20,0.7134046052631579
23,None,All,0.2,2,AIC,20,0.738183312782573
24,None,All,0.2,2,AIC,20,0.7321937321937322
25,None,All,0.2,2,AIC,20,0.7341425215348473
26,None,All,0.2,2,AIC,20,0.7439024390243902
27,None,All,0.2,2,AIC,20,0.7290679304897314
28,None,All,0.2,2,AIC,20,0.738152610441767
29,None,All,0.2,2,AIC,20,0.7341040462427746
30,None,All,0.2,2,AIC,20,0.7314487632508834
31,None,All,0.2,2,AIC,20,0.7256493506493507
32,None,All,0.2,2,AIC,20,0.7393179145433163
33,None,All,0.2,2,AIC,20,0.7354330708661417
34,None,All,0.2,2,AIC,20,0.714519427402863
35,None,All,0.2,2,AIC,20,0.6169614147909968
36,None,All,0.2,2,AIC,20,0.7324940991345398
37,None,All,0.2,2,AIC,20,0.72778447929232
38,None,All,0.2,2,AIC,20,0.7313019390581718
39,None,All,0.2,2,AIC,20,0.7509142624949208
40,None,All,0.2,2,AIC,20,0.7461240310077519
41,None,All,0.2,2,AIC,20,0.714058144165671
42,None,All,0.2,2,AIC,20,0.7397695669447756
43,None,All,0.2,2,AIC,20,0.724435318275154
44,None,All,0.2,2,AIC,20,0.7284001653575858
45,None,All,0.2,2,AIC,20,0.7234485630987089
46,None,All,0.2,2,AIC,20,0.7393553521687226
47,None,All,0.2,2,AIC,20,0.7299357945425361
48,None,All,0.2,2,AIC,20,0.7380566801619434
49,None,All,0.2,2,AIC,20,0.7385908726981585
50,None,All,0.2,2,AIC,20,0.7384052074857608
1,None,All,0.2,7,AIC,20,0.8699551569506726
2,None,All,0.2,7,AIC,20,0.8107012565869477
3,None,All,0.2,7,AIC,20,0.855310621242485
4,None,All,0.2,7,AIC,20,0.8832347140039448
5,None,All,0.2,7,AIC,20,0.8635634028892456
6,None,All,0.2,7,AIC,20,0.86716594402838
7,None,All,0.2,7,AIC,20,0.8613782051282052
8,None,All,0.2,7,AIC,20,0.8726621567847195
9,None,All,0.2,7,AIC,20,0.869746150645027
10,None,All,0.2,7,AIC,20,0.8057700121901666
11,None,All,0.2,7,AIC,20,0.7841614906832298
12,None,All,0.2,7,AIC,20,0.776531838205847
13,None,All,0.2,7,AIC,20,0.8599761999206664
14,None,All,0.2,7,AIC,20,0.8748991121872478
15,None,All,0.2,7,AIC,20,0.8752515090543259
16,None,All,0.2,7,AIC,20,0.8574850299401198
17,None,All,0.2,7,AIC,20,0.854632587859425
18,None,All,0.2,7,AIC,20,0.7975190076030412
19,None,All,0.2,7,AIC,20,0.8711607499002793
20,None,All,0.2,7,AIC,20,0.8707286949361878
21,None,All,0.2,7,AIC,20,0.8619447779111644
22,None,All,0.2,7,AIC,20,0.874373795761079
23,None,All,0.2,7,AIC,20,0.8768174474959612
24,None,All,0.2,7,AIC,20,0.8640065146579805
25,None,All,0.2,7,AIC,20,0.8770750988142293
26,None,All,0.2,7,AIC,20,0.8666127728375101
27,None,All,0.2,7,AIC,20,0.8696172248803827
28,None,All,0.2,7,AIC,20,0.8646322378716745
29,None,All,0.2,7,AIC,20,0.8794010522055847
30,None,All,0.2,7,AIC,20,0.873701039168665
31,None,All,0.2,7,AIC,20,0.8744922826969943
32,None,All,0.2,7,AIC,20,0.8778004073319755
33,None,All,0.2,7,AIC,20,0.7991803278688525
34,None,All,0.2,7,AIC,20,0.8726621567847195
35,None,All,0.2,7,AIC,20,0.7810365608678184
36,None,All,0.2,7,AIC,20,0.8677618069815195
37,None,All,0.2,7,AIC,20,0.7573385518590998
38,None,All,0.2,7,AIC,20,0.8745533942040492
39,None,All,0.2,7,AIC,20,0.7787114845938375
40,None,All,0.2,7,AIC,20,0.8621255642183012
41,None,All,0.2,7,AIC,20,0.8278655326042932
42,None,All,0.2,7,AIC,20,0.8040514218932606
43,None,All,0.2,7,AIC,20,0.8791469194312796
44,None,All,0.2,7,AIC,20,0.8467575382073523
45,None,All,0.2,7,AIC,20,0.872858774267225
46,None,All,0.2,7,AIC,20,0.8682906688687035
47,None,All,0.2,7,AIC,20,0.855147645650439
48,None,All,0.2,7,AIC,20,0.879296875
49,None,All,0.2,7,AIC,20,0.8798558269923908
50,None,All,0.2,7,AIC,20,0.8766788766788767
