"network","population","FPTT_mean","FPTT_median","FPTT_IQR","FPTT_SD"
"Small","All",30.1844444444444,16,28,52.0076594305654
"Small","Bo",266.415555555556,77,219,541.62622260523
"Small","Mave",28.0955555555556,10,19,82.9825818403409
"Small","Tess",Inf,16,35.75,Inf
