"population","network","FPMA_median","FPMA_IQR","FPMA_mean","FPMA_misses"
"All","Small",15,67,168.172413793103,102
"Bo","Small",5,25.5,49.3581395348837,235
"Mave","Small",6,30,47.2965879265092,69
"Tess","Small",6,19.75,161.210084033613,212
