population,TAT_median,TAT_mean,TAT_IQR,TAT_SD
All,0.22055000000000002,0.33706733333333333,0.6244249999999999,0.3063050693719252
Bo,0.385,0.37845,0.6607000000000001,0.31725844033238587
Mave,0.21045,0.28740044444444446,0.417325,0.23637864098765238
Rey,0.2148,0.327044,0.58795,0.31098071255798737
Tess,0.15735,0.3186431111111111,0.71705,0.3524928100915624
