population,stickiness_median,stickiness_mean,stickiness_IQR,stickiness_SD
All,0.7645097421850349,0.7147599611065993,0.37147222869063645,0.23588220116097725
Bo,0.8642988775339253,0.7381400588959262,0.256580657437682,0.19932073684404666
Mave,0.8265229035269076,0.7325305514578867,0.3902168354130967,0.24939280471642286
Rey,0.8063891577928364,0.692450982458566,0.3592828271703492,0.2856951119783706
Tess,0.8449054473609935,0.7073726045054871,0.4362682433152232,0.31922511443946405
