"network","population","TAT50_median","TAT50_mean","TAT50_IQR"
"Lattice","All",0,0.0568727401769573,0
"Lattice","Bo",0,0,0
"Lattice","Mave",0.842246869634284,0.483832053520813,0.901357287587833
"Lattice","Tess",0,0.215183936045042,0.0437742984392454
