"population","network","stickiness_median","stickiness_mean","stickiness_IQR","stickiness_SD"
"All","Lattice",0.954265192821742,0.859426993559623,0.265023452677505,0.165074132027092
"Bo","Lattice",0.963015583527381,0.956540163040276,0.0324646681157802,0.0245253247953227
"Mave","Lattice",0.958661354473769,0.80550008043878,0.253152239927985,0.273068394506842
"Tess","Lattice",0.98822561153777,0.765257593208984,0.497155296793383,0.318551652657983
