"population","network","TAT_C_median","TAT_C_mean","TAT_C_IQR"
"All","Lattice",0.812348458450392,0.531989331089075,0.972871210658428
"Bo","Lattice",0,0.00364892385189293,0
"Mave","Lattice",0.961534505810964,0.592927776167808,0.987013555778122
"Tess","Lattice",0,0.238591185755404,0.19836374390202
