replica,turn,studies,network,population,sigma,net_size,base_SS,true_model,colab_cond,orig_type,strategy,old_model,selected_model,orig_agents,switch_agents,SS,num_agents,init_g_true,final_g_true,prop_t_mod,switch_testing,switch_changing,switch_true,switch_true_changing,switch_true_rejecting,switch_rep_study,switch_rep,switch_not_rep,switch_all,switch_global,switch_not_global,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_true
1,1,7,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,1,5,1,1,20,1,0,0,0,6,6,0,0,0,1,1,0,6,0,6,0.0677966101694915,0.0726392251815981,0.0702179176755448,0.0726392251815981,0.0871670702179177,0.0726392251815981,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0726392251815981,0.0653753026634383,0.0677966101694915,0.0726392251815981,0.0702179176755448,0.0726392251815981
1,2,8,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,2,7,1,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966101694915,0.0726392251815981,0.0702179176755448,0.0726392251815981,0.0871670702179177,0.0726392251815981,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0726392251815981,0.0653753026634383,0.0677966101694915,0.0726392251815981,0.0702179176755448,0.0726392251815981
1,3,9,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,9,14,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966101694915,0.0726392251815981,0.0702179176755448,0.0726392251815981,0.0871670702179177,0.0726392251815981,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0726392251815981,0.0653753026634383,0.0677966101694915,0.0726392251815981,0.0702179176755448,0.0726392251815981
1,4,15,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,14,10,1,1,20,1,0,0,0,5,4,0,0,0,1,1,0,6,1,5,0.0677966101694915,0.0726392251815981,0.0677966101694915,0.0726392251815981,0.0871670702179177,0.0702179176755448,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0726392251815981
1,5,16,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,13,1,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966101694915,0.0726392251815981,0.0677966101694915,0.0726392251815981,0.0871670702179177,0.0702179176755448,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0726392251815981
1,6,17,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,9,5,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966101694915,0.0726392251815981,0.0677966101694915,0.0726392251815981,0.0871670702179177,0.0702179176755448,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0726392251815981
1,7,18,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,4,9,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966101694915,0.0726392251815981,0.0677966101694915,0.0726392251815981,0.0871670702179177,0.0702179176755448,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0726392251815981
1,8,19,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,4,5,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966101694915,0.0726392251815981,0.0677966101694915,0.0726392251815981,0.0871670702179177,0.0702179176755448,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0726392251815981
1,9,20,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,2,6,1,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966101694915,0.0726392251815981,0.0677966101694915,0.0726392251815981,0.0871670702179177,0.0702179176755448,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0726392251815981
1,10,24,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,3,1,1,1,20,1,0,0,0,3,0,0,0,0,0,0,0,6,3,3,0.0702179176755448,0.0726392251815981,0.0653753026634383,0.0726392251815981,0.0871670702179177,0.0702179176755448,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0702179176755448,0.0653753026634383,0.0726392251815981
1,11,30,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,14,13,1,1,20,1,0,0,0,5,1,1,0,1,0,0,0,6,1,5,0.0677966101694915,0.0726392251815981,0.0653753026634383,0.0726392251815981,0.0871670702179177,0.0702179176755448,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0750605326876513,0.062953995157385,0.0726392251815981
1,12,31,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,1,6,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966101694915,0.0726392251815981,0.0653753026634383,0.0726392251815981,0.0871670702179177,0.0702179176755448,0.0702179176755448,0.0677966101694915,0.0702179176755448,0.0847457627118644,0.0653753026634383,0.0677966101694915,0.0750605326876513,0.062953995157385,0.0726392251815981
