replica,turn,studies,network,population,sigma,net_size,base_SS,true_model,colab_cond,orig_type,strategy,old_model,selected_model,orig_agents,switch_agents,SS,num_agents,init_g_true,final_g_true,prop_t_mod,switch_testing,switch_changing,switch_true,switch_true_changing,switch_true_rejecting,switch_rep_study,switch_rep,switch_not_rep,switch_all,switch_global,switch_not_global,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_true
1,1,1,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,8,12,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750605326876513,0.0823244552058111,0.0895883777239709,0.0556900726392252,0.0726392251815981,0.0920096852300242,0.0556900726392252,0.0677966101694915,0.0920096852300242,0.0556900726392252,0.0605326876513317,0.0799031476997579,0.0726392251815981,0.0484261501210654,0.0823244552058111
1,2,8,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,11,7,1,1,20,1,0,0,0,6,3,0,0,0,0,0,0,6,0,6,0.0750605326876513,0.0823244552058111,0.0871670702179177,0.0556900726392252,0.0726392251815981,0.0920096852300242,0.0653753026634383,0.0677966101694915,0.0920096852300242,0.0556900726392252,0.0581113801452785,0.0799031476997579,0.0702179176755448,0.0460048426150121,0.0823244552058111
1,3,16,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,5,2,1,1,20,1,0,1,1,7,7,0,0,0,0,0,0,7,0,7,0.0750605326876513,0.101694915254237,0.0871670702179177,0.0532687651331719,0.0702179176755448,0.0895883777239709,0.0653753026634383,0.0653753026634383,0.0871670702179177,0.0532687651331719,0.0581113801452785,0.0799031476997579,0.0677966101694915,0.0460048426150121,0.101694915254237
1,4,24,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,8,4,1,1,20,1,0,0,0,7,5,0,0,0,1,0,1,7,0,7,0.0750605326876513,0.101694915254237,0.0847457627118644,0.0677966101694915,0.0702179176755448,0.0871670702179177,0.062953995157385,0.062953995157385,0.0847457627118644,0.0532687651331719,0.0581113801452785,0.0799031476997579,0.0677966101694915,0.0435835351089588,0.101694915254237
1,5,25,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,7,11,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750605326876513,0.101694915254237,0.0847457627118644,0.0677966101694915,0.0702179176755448,0.0871670702179177,0.062953995157385,0.062953995157385,0.0847457627118644,0.0532687651331719,0.0581113801452785,0.0799031476997579,0.0677966101694915,0.0435835351089588,0.101694915254237
1,6,26,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,4,9,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750605326876513,0.101694915254237,0.0847457627118644,0.0677966101694915,0.0702179176755448,0.0871670702179177,0.062953995157385,0.062953995157385,0.0847457627118644,0.0532687651331719,0.0581113801452785,0.0799031476997579,0.0677966101694915,0.0435835351089588,0.101694915254237
1,7,27,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,2,5,1,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0750605326876513,0.101694915254237,0.0847457627118644,0.0677966101694915,0.0702179176755448,0.0871670702179177,0.062953995157385,0.062953995157385,0.0847457627118644,0.0532687651331719,0.0581113801452785,0.0799031476997579,0.0677966101694915,0.0435835351089588,0.101694915254237
1,8,28,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,7,11,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750605326876513,0.101694915254237,0.0847457627118644,0.0677966101694915,0.0702179176755448,0.0871670702179177,0.062953995157385,0.062953995157385,0.0847457627118644,0.0532687651331719,0.0581113801452785,0.0799031476997579,0.0677966101694915,0.0435835351089588,0.101694915254237
1,9,29,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,9,11,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750605326876513,0.101694915254237,0.0847457627118644,0.0677966101694915,0.0702179176755448,0.0871670702179177,0.062953995157385,0.062953995157385,0.0847457627118644,0.0532687651331719,0.0581113801452785,0.0799031476997579,0.0677966101694915,0.0435835351089588,0.101694915254237
1,10,30,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,1,6,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750605326876513,0.101694915254237,0.0847457627118644,0.0677966101694915,0.0702179176755448,0.0871670702179177,0.062953995157385,0.062953995157385,0.0847457627118644,0.0532687651331719,0.0581113801452785,0.0799031476997579,0.0677966101694915,0.0435835351089588,0.101694915254237
1,11,36,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,14,5,1,1,20,1,0,0,0,5,4,0,0,0,0,0,0,6,1,5,0.0750605326876513,0.101694915254237,0.0823244552058111,0.0677966101694915,0.0823244552058111,0.0871670702179177,0.062953995157385,0.0605326876513317,0.0847457627118644,0.0508474576271186,0.0581113801452785,0.0799031476997579,0.0653753026634383,0.0411622276029056,0.101694915254237
1,12,45,Small,Bo,0.2,413,20,2,NOLAB,Bo,research,13,10,1,1,20,1,0,0,0,8,6,0,0,0,1,1,0,8,0,8,0.0726392251815981,0.101694915254237,0.0799031476997579,0.0677966101694915,0.0823244552058111,0.0823244552058111,0.062953995157385,0.0605326876513317,0.0847457627118644,0.0677966101694915,0.0581113801452785,0.0799031476997579,0.0605326876513317,0.0387409200968523,0.101694915254237
1,13,50,Small,Bo,0.2,413,20,2,NOLAB,Bo,neighbor,11,4,1,1,20,1,0,0,0,4,3,0,0,0,0,0,0,5,1,4,0.0726392251815981,0.101694915254237,0.0799031476997579,0.0774818401937046,0.0823244552058111,0.0823244552058111,0.062953995157385,0.0605326876513317,0.0823244552058111,0.0677966101694915,0.0556900726392252,0.0774818401937046,0.0605326876513317,0.036319612590799,0.101694915254237
