"network","population","RR_true_median","RR_true_IQR","RR_true_mean","RR_true_SD"
"Small","All",0.566985645933014,0.213157317358366,0.556291712937614,0.115083608425299
"Small","Bo",0.666666666666667,0.5,0.703606821561273,0.257248514420947
"Small","Mave",0.66813704579827,0.116212127623561,0.647543818090701,0.105308007712374
"Small","Tess",0.4,0.34352017631342,0.488448952775225,0.27203514951164
