"network","population","RR_median","RR_mean","RR_IQR","RR_SD"
"Small","All",0.36315978404457,0.381492178106483,0.135147749183174,0.0855966911132039
"Small","Bo",0.333333333333333,0.348680572451305,0.191730769230769,0.139542970574
"Small","Mave",0.356521739130435,0.367954496614311,0.0791762236706843,0.0545196469451081
"Small","Tess",0.310177848403663,0.357804167567188,0.175833094348945,0.166332858132103
