"network","population","RR_median","RR_mean","RR_IQR"
"Small","All",0.392304860088365,0.406198231241071,0.151502641239712
"Small","Bo",0.177777777777778,0.223610244459395,0.215531564172869
"Small","Mave",0.314208772650509,0.333613022684528,0.0950596513806117
"Small","Tess",0.324778231834945,0.397259254282959,0.285300682053576
