"network","population","RR_true_median","RR_true_mean","RR_true_IQR"
"Small","All",0.621579096244961,0.597278640267504,0.271145397007143
"Small","Bo",0.587121212121212,0.615897383450493,0.457262949039265
"Small","Mave",0.630135612764144,0.618925679490296,0.225098979753864
"Small","Tess",0.545989698307579,0.579505904912678,0.548804554618508
