"network","population","TAT_median","TAT_mean","TAT_IQR"
"Lattice","All",0.291006004610786,0.246756515605516,0.29131849167281
"Lattice","Bo",0.0423278900464795,0.0490647908117678,0.0349162636863986
"Lattice","Mave",0.59688035964004,0.472559377362561,0.667805058665743
"Lattice","Tess",0.12953817910832,0.211708509149355,0.369025088888712
