"population","network","stickiness_median","stickiness_mean","stickiness_IQR","stickiness_SD"
"All","Small",0.968198765511195,0.861839661981275,0.277445621907564,0.163879070226418
"Bo","Small",0.964516129032258,0.956869374041657,0.031569713251823,0.0229494430124071
"Mave","Small",0.962497266785887,0.805757639206394,0.225514881856052,0.276338156699856
"Tess","Small",0.987894024750025,0.766463294399034,0.479670826324582,0.321431949704014
