"network","population","TAT50_median","TAT50_mean","TAT50_IQR"
"Small","All",0,0.0558544416886319,0
"Small","Bo",0,0,0
"Small","Mave",0.842911950404176,0.506987616316448,0.901759786106564
"Small","Tess",0,0.223429535485057,0.270099977706585
