"population","network","TAT_C_median","TAT_C_mean","TAT_C_IQR"
"All","Small",0.776350556248892,0.536258368603455,0.9751343538559
"Bo","Small",0,0.00407214783863383,0
"Mave","Small",0.971778516274069,0.605296768301985,0.989730903764077
"Tess","Small",0,0.253958827659395,0.681290865536264
