population,stickiness_mean,stickiness_median,stickiness_IQR,stickiness_SD
All,0.6053764243454318,0.6503849653176408,0.3880358142740662,0.2652298780384938
Bo,0.6171908823675261,0.6781139840901036,0.40325725123820055,0.24977567930704933
Mave,0.6268291352770343,0.6921869281559109,0.40378516134711395,0.26255599846169964
Tess,0.5873557662827914,0.5888493231312537,0.5557136606302967,0.28462605087829684
