population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.6004888888888888,0.92,0.97,0.4415691105436281
Bo,0.6262666666666666,0.95,0.96,0.4318817993866211
Mave,0.5874444444444444,0.92,0.98,0.4437152348089743
Tess,0.5420666666666667,0.835,0.98,0.46032809544559755
