population,RR_mean,RR_median,RR_IQR,RR_SD
All,0.4153973231945615,0.39465907382376497,0.19054069886084918,0.10421549103389265
Bo,0.4062153296762084,0.3699281855646813,0.14841074702388035,0.09801378137221317
Mave,0.40451706959424677,0.3780173876600911,0.20464298661154445,0.10272493551139211
Tess,0.46393988431927086,0.5051971587706514,0.2670145547620073,0.1319529548038807
