population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.5807777777777777,0.815,0.96,0.4334386971442831
Bo,0.6152888888888889,0.9,0.9075,0.42207202449689246
Mave,0.5807333333333333,0.875,0.96,0.4388069926943005
Tess,0.5362222222222223,0.715,0.98,0.44904595173061357
