population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.564,0.96,0.99,0.47156754187272415
Bo,0.5728222222222222,0.95,0.98,0.46203798515683714
Mave,0.5799555555555556,0.96,0.99,0.4601892684874144
Tess,0.4950888888888889,0.53,0.99,0.4754911806808016
