population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,96.44,50,90,202.07921928935914
Bo,79.54444444444445,48.5,78,93.75889102441002
Mave,120.24222222222222,66,113.5,208.00662036415568
Tess,146.2032710280374,44,100.5,460.9182041345563
