population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.5638666666666666,0.945,0.99,0.47079204455947515
Bo,0.5806222222222223,0.95,0.9875,0.45881037656438894
Mave,0.5860444444444445,0.96,0.99,0.45780379938679816
Tess,0.5191111111111111,0.75,0.99,0.4754377760978353
