population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,81.98666666666666,51,79,106.0133193295937
Bo,60.306666666666665,42,65,63.28110439712138
Mave,97.41111111111111,50,93,154.42211365554186
Tess,209.27314814814815,50,111.75,872.5046191097168
