population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.5693333333333334,0.94,0.99,0.46791724469630963
Bo,0.5793777777777778,0.95,0.98,0.45618400191487235
Mave,0.5823555555555555,0.94,0.99,0.4557934492716098
Tess,0.5042222222222222,0.62,0.99,0.47246021922256587
