population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.5672888888888888,0.93,0.99,0.46639791297193073
Bo,0.5833444444444444,0.95,0.99,0.45647587674885715
Mave,0.5831777777777778,0.955,0.99,0.4580525487721421
Tess,0.5213111111111111,0.75,0.99,0.4755513782293217
