population,stickiness_mean,stickiness_median,stickiness_IQR,stickiness_SD
All,0.6132431501346717,0.6349151904542074,0.43062918039412723,0.26264821319558235
Bo,0.6232737916933166,0.6308058947066143,0.36392264251484724,0.23905867973761397
Mave,0.6339818466216011,0.6810356856626825,0.3873828354440757,0.26545472005505333
Tess,0.6007916266204943,0.6056773039034931,0.5569247692785985,0.2948597285171245
