population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,108.80777777777777,53,88.25,317.4050439063148
Bo,66.53888888888889,46,70,71.42477890862237
Mave,102.61333333333333,52,105,155.31103902543148
Tess,215.60300925925927,54,130,811.144399099346
