population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.6205111111111111,0.95,0.99,0.4483356502346066
Bo,0.6427777777777778,0.95,0.9425,0.43688661823400077
Mave,0.6075555555555555,0.94,0.98,0.4456873086709665
Tess,0.5486777777777778,0.88,0.99,0.46845915336454524
