population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.5707111111111111,0.925,0.99,0.46246067055902923
Bo,0.5860666666666666,0.95,0.9875,0.4546237045017306
Mave,0.5803111111111111,0.95,0.99,0.45879273271401055
Tess,0.5235111111111111,0.76,0.99,0.47618391303144947
