population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,86.93444444444444,47,81,177.80636858026182
Bo,64.16777777777777,43.5,67,76.58644461619465
Mave,89.35111111111111,48,90,139.03149445495058
Tess,145.65704387990763,52,119.75,364.68878036290187
