population,RRT_mean,RRT_median,RRT_IQR,RRT_SD
All,0.5942384016784765,0.7215189873417721,0.6148184405598807,0.30859592674245256
Bo,0.6521423927264146,0.75,0.39186405152586035,0.2682818473635894
Mave,0.5902543614539844,0.7393131165509682,0.6196270178864162,0.3124486402481209
Tess,0.6440263588371281,0.8096676737160121,0.5425771324156035,0.3042447242437382
