population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,135.6288888888889,56,100.5,434.78216398704427
Bo,70.82222222222222,50,80.75,74.5527985546725
Mave,112.26444444444445,57,107.5,161.83596916512394
Tess,200.36342042755345,63,137,727.0780717179103
