population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,215.85555555555555,82.5,167.75,498.73829476160876
Bo,107.11888888888889,57,133.25,132.4286704624619
Mave,179.20333333333335,60,180.75,416.4979583631986
Tess,282.95882352941175,68.5,193,702.8847348897723
