population,stickiness_mean,stickiness_median,stickiness_IQR,stickiness_SD
All,0.6177738616544065,0.6374567577113459,0.4322075820081821,0.2631612066291284
Bo,0.6313165114298526,0.6433274842703294,0.3724464553278044,0.2405766874938319
Mave,0.6396212031539653,0.6862891005360003,0.3876626524937644,0.26728330251907284
Tess,0.6028681386150128,0.6063410943856699,0.5633747745175401,0.30039616710190326
