population,RR_mean,RR_median,RR_IQR,RR_SD
All,0.40869529226907036,0.3870536477893376,0.18051404402631555,0.10660466418189457
Bo,0.39932606879069366,0.3580550566175469,0.14939875816569387,0.10191833884569988
Mave,0.39612594859871036,0.3610639469073204,0.18982666508931578,0.10465036694498595
Tess,0.452201622080767,0.5025548943886791,0.2587220054794962,0.12686762781275782
