population,TAT_mean,TAT_median,TAT_IQR,TAT_SD
All,0.43612264323167915,0.40908468858717084,0.5830155971399846,0.3072080896900996
Bo,0.4694782374529634,0.5247842307689112,0.5477484644300884,0.314219663971085
Mave,0.4325638379290141,0.432543418449138,0.5959776540308117,0.3054594159011902
Tess,0.43124619909309003,0.39496968941139543,0.7705474041057492,0.3344906401791497
