population,RR_mean,RR_median,RR_IQR,RR_SD
All,0.40669702230626054,0.38321643072153083,0.17690101032448552,0.10717303506907525
Bo,0.39746696620054406,0.3565448300211239,0.15168490673066964,0.1034845562845086
Mave,0.39233579309898536,0.3574874709968684,0.19373781812273305,0.10654202671282519
Tess,0.44883743252455205,0.4963714506552963,0.25801056061452893,0.12591118447581698
