population,stickiness_mean,stickiness_median,stickiness_IQR,stickiness_SD
All,0.6141844735066108,0.6356916686918042,0.43210919364955325,0.2623596423598769
Bo,0.6301367195957631,0.639511083679255,0.3740525324884628,0.23864486833843707
Mave,0.6368827183889058,0.6808519624089324,0.3831815955977337,0.2657949076865493
Tess,0.6012152390206528,0.5996109114996467,0.5673557438477687,0.29704973410651014
