population,RRT_mean,RRT_median,RRT_IQR,RRT_SD
All,0.6029415978745424,0.7304964539007093,0.5871839005136218,0.3034035546963148
Bo,0.6677272728900897,0.7184684684684685,0.39261210063067437,0.2410154250042753
Mave,0.6021905961959942,0.7502260397830018,0.5769492039429777,0.30489416145451836
Tess,0.6494863576604256,0.7266738790720039,0.542682891325533,0.28764697316218657
