population,stickiness_mean,stickiness_median,stickiness_IQR,stickiness_SD
All,0.6138566756201729,0.6416194838554821,0.4205581031509458,0.26335349367772887
Bo,0.6231846826347013,0.6553457098568051,0.3840006475307491,0.24288893513751691
Mave,0.636496136468056,0.6885556541434674,0.37904590007930505,0.2639231472717106
Tess,0.5988312171264034,0.5970680173963953,0.5581524003214613,0.295425853959584
