population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.5666666666666667,0.95,0.99,0.46949218774041296
Bo,0.5761,0.95,0.98,0.45887662194897477
Mave,0.5811555555555555,0.95,0.99,0.4577434109635652
Tess,0.4996555555555556,0.575,0.99,0.47373647088987286
