population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.6240111111111111,0.95,0.99,0.4492047352860768
Bo,0.6616666666666666,0.95,0.84,0.4203569911396745
Mave,0.6118,0.94,0.98,0.44588625673912824
Tess,0.5324,0.88,0.99,0.47588710675534424
