population,TAT50_mean,TAT50_median,TAT50_IQR,TAT50_SD
All,0.4139897183616499,0,0.9306014902350743,0.4625597005832447
Bo,0.43187680777773885,0.12986156888595912,0.9279280731385138,0.4515785421849405
Mave,0.41434860348314256,0.014340459584566458,0.9207012235978903,0.4541037542263708
Tess,0.41524873319480826,0,0.9330700252293163,0.46456651259384396
