population,TAT50_mean,TAT50_median,TAT50_IQR,TAT50_SD
All,0.43111812490426,0.08373272994325634,0.9260981259118408,0.45088940287129303
Bo,0.45855796656105124,0.3468956252116872,0.9290348239965828,0.4490887578255619
Mave,0.4343075003999274,0.1419135746898475,0.9180915431896726,0.4461057519456473
Tess,0.4274788747980599,0.04622018391110674,0.9302434697410028,0.45458715352314755
