population,TAT_mean,TAT_median,TAT_IQR,TAT_SD
All,0.42095028496708886,0.3590847329275012,0.6677239043059986,0.32358667106500144
Bo,0.44472368325702,0.4338223947016128,0.6631894072847109,0.3262571140454632
Mave,0.4176636931710811,0.3801655694992645,0.6619225492992558,0.3194952740969913
Tess,0.41970317401176704,0.3229444124280635,0.7919490526840101,0.35009005771171003
