population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,118.34649610678532,65,112.25,218.38863041287433
Bo,95.24444444444444,65.5,100,106.41178501051331
Mave,130.71166666666667,68,112,229.17440553151434
Tess,146.79452852153668,73,144,215.69489395375214
