population,TAT_mean,TAT_median,TAT_IQR,TAT_SD
All,0.4156566230754624,0.31522656512513514,0.716974792286845,0.35505456726329687
Bo,0.4350082281381631,0.4210459639416618,0.7002324739581711,0.3444194758502936
Mave,0.41260768937514775,0.34157478093019483,0.7138733608366956,0.34800953767916587
Tess,0.4137033509009622,0.2176344183774102,0.8289911617859405,0.3829703477546993
