population,RR_mean,RR_median,RR_IQR,RR_SD
All,0.43313103224593097,0.40359877788482074,0.15633346754311228,0.08862967036125792
Bo,0.4221722955023612,0.40865653519606215,0.14858180573348445,0.09208172712609353
Mave,0.42187801930398494,0.3867458801720789,0.16022553626644054,0.0876115366816968
Tess,0.47704153244750996,0.5049767275331185,0.22114017260922747,0.11217588721688068
