population,TAT50_mean,TAT50_median,TAT50_IQR,TAT50_SD
All,0.412980111766942,0,0.9278399278982753,0.4606050533758934
Bo,0.43506027064807773,0.2032147889366992,0.9209022622603785,0.4456136989948914
Mave,0.409267511424385,0.001557400603460662,0.9105545506089329,0.4498965458815652
Tess,0.4112659771718696,0,0.9215475550779151,0.46028677508843646
