population,TATC_mean,TATC_median,TATC_IQR,TATC_SD
All,0.5743888888888888,0.88,0.99,0.45100094211996505
Bo,0.59158333333333335,0.91,0.98,0.4449385461997925
Mave,0.5763666666666667,0.92,0.99,0.45128279761600126
Tess,0.5276444444444445,0.74,0.99,0.464153621018561
