population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,77.42888888888889,43,69,149.2765794058767
Bo,59.31777777777778,39.5,59.75,77.60762421185156
Mave,84.28888888888889,42,75,154.2400469436133
Tess,134.6581986143187,48,92,514.7185661561293
