population,RRT_mean,RRT_median,RRT_IQR,RRT_SD
All,0.5996177716174882,0.7175368139223561,0.605403898169533,0.3115657795329488
Bo,0.6543158509356011,0.7078410311493019,0.42931574239713777,0.25527988673811597
Mave,0.6008433969285069,0.7447425959053866,0.5920439552599227,0.3116681129837987
Tess,0.649767421037543,0.7480217531113119,0.549212180412809,0.2970616519950358
