population,TAT50_mean,TAT50_median,TAT50_IQR,TAT50_SD
All,0.41255057838122494,0,0.9274355867474531,0.4602157672832552
Bo,0.43436574815987067,0.22191019654786887,0.9193380812230507,0.44512716151386317
Mave,0.409633016299801,0.0048221263820053374,0.9096144080809401,0.4494657533867856
Tess,0.4116592153984671,0,0.9237492138244181,0.46096694562216345
