population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,123.49777777777778,61,103.375,287.8572491346573
Bo,82.74666666666667,55.5,84.375,100.62263194762268
Mave,116.84277777777778,57,114.25,234.24892401379154
Tess,173.89657142857143,66,142.25,546.4262093609353
