population,TAT_mean,TAT_median,TAT_IQR,TAT_SD
All,0.41592584296623336,0.3148617309045587,0.7293182307810465,0.3564049325524347
Bo,0.43283303999742756,0.4128162855653661,0.7060088060314051,0.3511463584155302
Mave,0.41865718722748063,0.361102791907021,0.718233756814572,0.3511018513416638
Tess,0.419415282481384,0.24396415344616967,0.8382607988137932,0.38518455938515195
