population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,260.4588888888889,84,262.75,523.8503532754607
Bo,173.38888888888889,103,212.75,247.27998452132175
Mave,264.3833333333333,119,280.25,496.86960401742886
Tess,307.7706310679612,104,253.5,732.2671367397231
